dr5r81,40.69885254,40.7043457,-74.1796875,-74.16870117
dr5r8q,40.72631836,40.73181152,-74.16870117,-74.15771484
dr5r82,40.69335938,40.69885254,-74.16870117,-74.15771484
dr5r8r,40.73181152,40.73730469,-74.16870117,-74.15771484
dr5r83,40.69885254,40.7043457,-74.16870117,-74.15771484
dr5r84,40.7043457,40.70983887,-74.1796875,-74.16870117
dr5r8m,40.7208252,40.72631836,-74.16870117,-74.15771484
dr5r8n,40.72631836,40.73181152,-74.1796875,-74.16870117
dr5r80,40.69335938,40.69885254,-74.1796875,-74.16870117
dr5r8p,40.73181152,40.73730469,-74.1796875,-74.16870117
dr5r85,40.70983887,40.71533203,-74.1796875,-74.16870117
dr5r2p,40.68786621,40.69335938,-74.1796875,-74.16870117
dr5r86,40.7043457,40.70983887,-74.16870117,-74.15771484
dr5r87,40.70983887,40.71533203,-74.16870117,-74.15771484
dr5r2r,40.68786621,40.69335938,-74.16870117,-74.15771484
dr5r8j,40.7208252,40.72631836,-74.1796875,-74.16870117
dr5r8k,40.71533203,40.7208252,-74.16870117,-74.15771484
dr5rb0,40.73730469,40.74279785,-74.1796875,-74.16870117
dr5r8h,40.71533203,40.7208252,-74.1796875,-74.16870117
dr5rb2,40.73730469,40.74279785,-74.16870117,-74.15771484
